Time [s],Packet ID,MOSI,MISO,Actual Value
32.4772750000,6970,0xBF,,
32.4775650000,6970,0x3F,,
32.4778170000,6970,0x3F,,
32.4780570000,6970,0x04,,
32.4782850000,6970,0x07,,
32.4785935000,6971,0x04,,
32.4789490000,6972,0x3F,,
32.4793730000,6972,0xBF,,
32.4796950000,6972,0x3F,,
32.4799470000,6972,0x3F,,
32.4801875000,6972,0x04,,
32.4803825000,6972,0x07,,
32.4807100000,6973,0x05,,
32.4809340000,6973,0xA0,,
32.4811925000,6974,0xFF,,
32.4814370000,6975,0xFF,,
32.4817265000,6975,0xFF,,
32.5798070000,6975,0xE0,,7
32.5800535000,6975,0xDA,,2
32.5803430000,6975,0x60,,1
32.5805910000,6975,0xFD,,0.
32.5808815000,6975,0x00,,
32.5811255000,6975,0x00,,
32.5814505000,6975,0xFE,,8
32.5817035000,6975,0xE7,,9.
32.5819960000,6975,0xF2,,3
32.5822450000,6975,0x00,,
32.5825300000,6975,0x00,,
32.5827770000,6975,0x00,,
32.5829985000,6975,0x20,,
32.5833745000,6976,0x10,,
32.5837300000,6977,0x3F,,
32.5839850000,6977,0xCF,,
32.5843525000,6977,0x06,,
32.5846020000,6977,0x4F,,
32.5848425000,6977,0x44,,
32.5850720000,6977,0x17,,
32.5853815000,6978,0x11,,
32.5857380000,6979,0x3F,,
32.5859925000,6979,0xCF,,
32.5862805000,6979,0x06,,
32.5865300000,6979,0x4F,,
32.5867705000,6979,0x44,,
32.5869995000,6979,0x17,,
32.5873085000,6980,0x12,,
32.5876330000,6981,0x3F,,
32.5878885000,6981,0xCF,,
32.5881765000,6981,0x06,,
32.5884265000,6981,0x4F,,
32.5886665000,6981,0x44,,
32.5888960000,6981,0x17,,
32.5894080000,6982,0x13,,
32.5897665000,6983,0x3F,,
32.5900215000,6983,0xCF,,
32.5903100000,6983,0x06,,
32.5905595000,6983,0x4F,,
32.5907995000,6983,0x44,,
32.5910290000,6983,0x17,,
32.5913380000,6984,0x14,,
32.5916630000,6985,0x3F,,
32.5919185000,6985,0xCF,,
32.5922385000,6985,0x06,,
32.5924880000,6985,0x4F,,
32.5927285000,6985,0x44,,
32.5929255000,6985,0x17,,
32.5932670000,6986,0x15,,
32.5935930000,6987,0x3F,,
32.5938490000,6987,0xCF,,
32.5942485000,6987,0x06,,
32.5944980000,6987,0x4F,,
32.5947385000,6987,0x44,,
32.5949355000,6987,0x17,,
32.5952770000,6988,0x00,,
32.5955985000,6989,0x3F,,
32.5958540000,6989,0xBF,,
32.5961440000,6989,0x3F,,
32.5963960000,6989,0x3F,,
32.5966365000,6989,0x04,,
32.5968640000,6989,0x07,,
32.5971725000,6990,0x01,,
32.5975280000,6991,0x3F,,
32.5977830000,6991,0xBF,,
32.5980730000,6991,0x3F,,
32.5983250000,6991,0x3F,,
32.5985650000,6991,0x04,,
32.5987930000,6991,0x07,,
32.5993015000,6992,0x02,,
32.5996250000,6993,0x3F,,
32.5998800000,6993,0xBF,,
32.6001700000,6993,0x3F,,
32.6004220000,6993,0x3F,,
32.6006620000,6993,0x04,,
32.6008900000,6993,0x07,,
32.6011985000,6994,0x03,,
32.6015550000,6995,0x3F,,
32.6018105000,6995,0xBF,,
32.6021000000,6995,0x3F,,
32.6023525000,6995,0x3F,,
32.6025925000,6995,0x04,,
32.6028205000,6995,0x07,,
32.6031290000,6996,0x04,,
32.6034520000,6997,0x3F,,
32.6037075000,6997,0xBF,,
32.6040295000,6997,0x3F,,
32.6043590000,6997,0x3F,,
32.6045995000,6997,0x04,,
32.6048275000,6997,0x07,,
32.6051230000,6998,0x05,,
